festival.id,fest.name,fest.label,event,event.year,event.month,event.date,event.country,unique.id,title.mixed,fest.count,fest.run.month,fest.regions.ocean,fest.regions.mena,fest.regions.africa,fest.regions.asia,fest.regions.na,fest.regions.eu,fest.regions.la,fest.country.n,only.fest,thr,digital,tv,dvd.br,imdb.id,gender.team
imdbady01439,san francisco asian american film festival,san francisco asian american,san francisco international asian american film festival,2011,3,13,United States,frnew20,tales of the waria,2,19,0,0,0,0,1,0,0,2,0,0,0,0,0,tt1754572,female only
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2012,10,21,Denmark,frnew20,tales of the waria,2,19,0,0,0,0,0,1,0,2,0,0,0,0,0,tt1754572,female only
fest.lib.id.na421,southeast new england film music & arts festival,southeast new england music & arts,"southeast new england film, music & arts festival",2010,4,11,United States,frnew200,still here,3,13,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1588479,male only
fest.lib.id418,starz denver film festival,starz denver,denver international film festival,2010,11,NA,United States,frnew200,still here,3,13,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1588479,male only
fest.lib.id2022,hill country film festival,hill country,hill country film festival,2011,4,30,United States,frnew200,still here,3,13,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1588479,male only
fest.lib.id1335,out in the desert film festival,out in the desert,out in the desert film festival,2013,1,NA,United States,frnew201,t'ain't nobody's bizness: queer blues divas of the 1920s,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1821627,male only
fest.lib.id665,frameline film festival,frameline,frameline san francisco international lgbt film festival,2011,6,18,United States,frnew204,this is what love in action looks like,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,tt0853155,male only
fest.lib.id1736,tiff toronto international film festival,tiff toronto international,toronto international film festival,2010,9,12,Canada,frnew209,trigger,5,14,0,0,0,0,1,0,0,3,0,0,0,0,1,tt1624408,male only
fest.lib.id632,atlantic film festival,atlantic,atlantic film festival,2010,9,21,Canada,frnew209,trigger,5,14,0,0,0,0,1,0,0,3,0,0,0,0,1,tt1624408,male only
fest.lib.id845,boston independent film festival,boston independent,independent film festival of boston,2011,4,30,United States,frnew209,trigger,5,14,0,0,0,0,1,0,0,3,0,0,0,0,1,tt1624408,male only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,21,United States,frnew209,trigger,5,14,0,0,0,0,1,0,0,3,0,0,0,0,1,tt1624408,male only
